! MW_GC21_model.txt
! R    D    M    P
499
3.006012e-01 4.086750e-02 1.000000e-15 -3.739498e+00
9.018036e-01 1.485393e-02 5.958117e-02 -3.708561e+00
1.503006e+00 8.772918e-03 1.800756e-01 -3.661893e+00
2.104208e+00 6.075648e-03 3.565564e-01 -3.613431e+00
2.705411e+00 4.560231e-03 5.842566e-01 -3.565044e+00
3.306613e+00 3.594078e-03 8.587802e-01 -3.517305e+00
3.907816e+00 2.927370e-03 1.176089e+00 -3.470442e+00
4.509018e+00 2.441625e-03 1.532475e+00 -3.424553e+00
5.110220e+00 2.073441e-03 1.924530e+00 -3.379676e+00
5.711423e+00 1.785831e-03 2.349121e+00 -3.335820e+00
6.312625e+00 1.555778e-03 2.803365e+00 -3.292979e+00
6.913828e+00 1.368209e-03 3.284608e+00 -3.251136e+00
7.515030e+00 1.212851e-03 3.790404e+00 -3.210271e+00
8.116232e+00 1.082460e-03 4.318501e+00 -3.170360e+00
8.717435e+00 9.717870e-04 4.866818e+00 -3.131376e+00
9.318637e+00 8.769364e-04 5.433439e+00 -3.093293e+00
9.919840e+00 7.949579e-04 6.016592e+00 -3.056084e+00
1.052104e+01 7.235779e-04 6.614644e+00 -3.019724e+00
1.112224e+01 6.610168e-04 7.226084e+00 -2.984185e+00
1.172345e+01 6.058628e-04 7.849517e+00 -2.949443e+00
1.232465e+01 5.569824e-04 8.483653e+00 -2.915473e+00
1.292585e+01 5.134552e-04 9.127298e+00 -2.882251e+00
1.352705e+01 4.745270e-04 9.779351e+00 -2.849753e+00
1.412826e+01 4.395743e-04 1.043879e+01 -2.817958e+00
1.472946e+01 4.080771e-04 1.110467e+01 -2.786843e+00
1.533066e+01 3.795990e-04 1.177612e+01 -2.756387e+00
1.593186e+01 3.537712e-04 1.245234e+01 -2.726571e+00
1.653307e+01 3.302800e-04 1.313257e+01 -2.697375e+00
1.713427e+01 3.088569e-04 1.381612e+01 -2.668780e+00
1.773547e+01 2.892715e-04 1.450235e+01 -2.640769e+00
1.833667e+01 2.713245e-04 1.519067e+01 -2.613324e+00
1.893788e+01 2.548428e-04 1.588053e+01 -2.586428e+00
1.953908e+01 2.396758e-04 1.657143e+01 -2.560065e+00
2.014028e+01 2.256917e-04 1.726290e+01 -2.534220e+00
2.074148e+01 2.127747e-04 1.795450e+01 -2.508878e+00
2.134269e+01 2.008227e-04 1.864583e+01 -2.484024e+00
2.194389e+01 1.897455e-04 1.933652e+01 -2.459645e+00
2.254509e+01 1.794632e-04 2.002624e+01 -2.435728e+00
2.314629e+01 1.699045e-04 2.071466e+01 -2.412259e+00
2.374749e+01 1.610060e-04 2.140149e+01 -2.389226e+00
2.434870e+01 1.527111e-04 2.208648e+01 -2.366617e+00
2.494990e+01 1.449687e-04 2.276936e+01 -2.344421e+00
2.555110e+01 1.377333e-04 2.344992e+01 -2.322626e+00
2.615230e+01 1.309637e-04 2.412795e+01 -2.301223e+00
2.675351e+01 1.246227e-04 2.480325e+01 -2.280199e+00
2.735471e+01 1.186768e-04 2.547565e+01 -2.259547e+00
2.795591e+01 1.130956e-04 2.614498e+01 -2.239255e+00
2.855711e+01 1.078514e-04 2.681111e+01 -2.219315e+00
2.915832e+01 1.029192e-04 2.747389e+01 -2.199717e+00
2.975952e+01 9.827613e-05 2.813320e+01 -2.180453e+00
3.036072e+01 9.390125e-05 2.878894e+01 -2.161514e+00
3.096192e+01 8.977554e-05 2.944100e+01 -2.142893e+00
3.156313e+01 8.588156e-05 3.008929e+01 -2.124581e+00
3.216433e+01 8.220333e-05 3.073373e+01 -2.106571e+00
3.276553e+01 7.872617e-05 3.137424e+01 -2.088855e+00
3.336673e+01 7.543662e-05 3.201076e+01 -2.071427e+00
