! GC21_MW_DM_halo.txt
! R    D    M    P
600
1.000000e-01 1.486449e-01 1.000000e-15 -3.769664e+00
6.006678e-01 2.386069e-02 3.175808e-02 -3.730688e+00
1.101336e+00 1.255321e-02 1.067388e-01 -3.686156e+00
1.602003e+00 8.328252e-03 2.218748e-01 -3.642275e+00
2.102671e+00 6.125901e-03 3.743126e-01 -3.599303e+00
2.603339e+00 4.778721e-03 5.613963e-01 -3.557275e+00
3.104007e+00 3.872521e-03 7.806526e-01 -3.516179e+00
3.604674e+00 3.223246e-03 1.029777e+00 -3.475996e+00
4.105342e+00 2.736646e-03 1.306622e+00 -3.436698e+00
4.606010e+00 2.359462e-03 1.609183e+00 -3.398261e+00
5.106678e+00 2.059337e-03 1.935591e+00 -3.360656e+00
5.607346e+00 1.815479e-03 2.284102e+00 -3.323860e+00
6.108013e+00 1.613923e-03 2.653087e+00 -3.287845e+00
6.608681e+00 1.444941e-03 3.041024e+00 -3.252589e+00
7.109349e+00 1.301554e-03 3.446489e+00 -3.218068e+00
7.610017e+00 1.178625e-03 3.868154e+00 -3.184258e+00
8.110684e+00 1.072289e-03 4.304776e+00 -3.151140e+00
8.611352e+00 9.795859e-04 4.755190e+00 -3.118691e+00
9.112020e+00 8.982086e-04 5.218310e+00 -3.086892e+00
9.612688e+00 8.263345e-04 5.693115e+00 -3.055723e+00
1.011336e+01 7.625047e-04 6.178653e+00 -3.025166e+00
1.061402e+01 7.055383e-04 6.674030e+00 -2.995204e+00
1.111469e+01 6.544695e-04 7.178410e+00 -2.965818e+00
1.161536e+01 6.085010e-04 7.691009e+00 -2.936993e+00
1.211603e+01 5.669692e-04 8.211092e+00 -2.908713e+00
1.261669e+01 5.293175e-04 8.737972e+00 -2.880962e+00
1.311736e+01 4.950759e-04 9.271002e+00 -2.853726e+00
1.361803e+01 4.638446e-04 9.809579e+00 -2.826990e+00
1.411870e+01 4.352821e-04 1.035313e+01 -2.800741e+00
1.461937e+01 4.090946e-04 1.090114e+01 -2.774966e+00
1.512003e+01 3.850281e-04 1.145309e+01 -2.749652e+00
1.562070e+01 3.628622e-04 1.200852e+01 -2.724787e+00
1.612137e+01 3.424049e-04 1.256700e+01 -2.700358e+00
1.662204e+01 3.234878e-04 1.312811e+01 -2.676356e+00
1.712270e+01 3.059629e-04 1.369146e+01 -2.652767e+00
1.762337e+01 2.896999e-04 1.425669e+01 -2.629583e+00
1.812404e+01 2.745833e-04 1.482348e+01 -2.606792e+00
1.862471e+01 2.605106e-04 1.539148e+01 -2.584384e+00
1.912538e+01 2.473905e-04 1.596042e+01 -2.562351e+00
1.962604e+01 2.351413e-04 1.653000e+01 -2.540683e+00
2.012671e+01 2.236902e-04 1.709997e+01 -2.519370e+00
2.062738e+01 2.129716e-04 1.767009e+01 -2.498404e+00
2.112805e+01 2.029265e-04 1.824011e+01 -2.477777e+00
2.162871e+01 1.935017e-04 1.880983e+01 -2.457481e+00
2.212938e+01 1.846492e-04 1.937905e+01 -2.437507e+00
2.263005e+01 1.763253e-04 1.994756e+01 -2.417848e+00
2.313072e+01 1.684905e-04 2.051521e+01 -2.398497e+00
2.363139e+01 1.611089e-04 2.108182e+01 -2.379447e+00
2.413205e+01 1.541478e-04 2.164725e+01 -2.360689e+00
2.463272e+01 1.475772e-04 2.221133e+01 -2.342219e+00
2.513339e+01 1.413699e-04 2.277395e+01 -2.324029e+00
2.563406e+01 1.355008e-04 2.333497e+01 -2.306113e+00
2.613472e+01 1.299471e-04 2.389427e+01 -2.288465e+00
2.663539e+01 1.246876e-04 2.445175e+01 -2.271078e+00
2.713606e+01 1.197031e-04 2.500731e+01 -2.253948e+00
2.763673e+01 1.149757e-04 2.556085e+01 -2.237068e+00
2.813740e+01 1.104889e-04 2.611229e+01 -2.220433e+00
2.863806e+01 1.062276e-04 2.666153e+01 -2.204037e+00
2.913873e+01 1.021779e-04 2.720851e+01 -2.187877e+00
2.963940e+01 9.832660e-05 2.775316e+01 -2.171945e+00
3.014007e+01 9.466183e-05 2.829541e+01 -2.156239e+00
3.064073e+01 9.117240e-05 2.883520e+01 -2.140752e+00
3.114140e+01 8.784798e-05 2.937247e+01 -2.125481e+00
3.164207e+01 8.467895e-05 2.990718e+01 -2.110421e+00
3.214274e+01 8.165636e-05 3.043928e+01 -2.095567e+00
3.264341e+01 7.877189e-05 3.096872e+01 -2.080916e+00
3.314407e+01 7.601777e-05 3.149547e+01 -2.066463e+00
3.364474e+01 7.338678e-05 3.201949e+01 -2.052204e+00
3.414541e+01 7.087213e-05 3.254076e+01 -2.038136e+00
3.464608e+01 6.846753e-05 3.305923e+01 -2.024254e+00
3.514674e+01 6.616705e-05 3.357489e+01 -2.010555e+00
3.564741e+01 6.396518e-05 3.408771e+01 -1.997036e+00
3.614808e+01 6.185672e-05 3.459768e+01 -1.983692e+00
3.664875e+01 5.983684e-05 3.510477e+01 -1.970520e+00
3.714942e+01 5.790097e-05 3.560896e+01 -1.957518e+00
3.765008e+01 5.604483e-05 3.611025e+01 -1.944681e+00
3.815075e+01 5.426441e-05 3.660863e+01 -1.932008e+00
3.865142e+01 5.255593e-05 3.710408e+01 -1.919494e+00
3.915209e+01 5.091585e-05 3.759659e+01 -1.907136e+00
3.965275e+01 4.934081e-05 3.808617e+01 -1.894932e+00
4.015342e+01 4.782766e-05 3.857280e+01 -1.882879e+00
4.065409e+01 4.637345e-05 3.905648e+01 -1.870974e+00
4.115476e+01 4.497536e-05 3.953722e+01 -1.859215e+00
4.165543e+01 4.363076e-05 4.001501e+01 -1.847598e+00
4.215609e+01 4.233714e-05 4.048985e+01 -1.836121e+00
4.265676e+01 4.109217e-05 4.096175e+01 -1.824782e+00
4.315743e+01 3.989360e-05 4.143071e+01 -1.813578e+00
4.365810e+01 3.873933e-05 4.189674e+01 -1.802507e+00
4.415876e+01 3.762737e-05 4.235984e+01 -1.791566e+00
4.465943e+01 3.655582e-05 4.282001e+01 -1.780753e+00
4.516010e+01 3.552291e-05 4.327727e+01 -1.770066e+00
4.566077e+01 3.452694e-05 4.373162e+01 -1.759503e+00
4.616144e+01 3.356630e-05 4.418308e+01 -1.749062e+00
