! /n/nyx3/garavito/projects/XMC-Atlas/scripts/test_halo_108/modelname_halo_0355.txt
! R    D    M    P
1000
1.000000e-01 1.171193e-04 3.044503e-17 -4.136357e-02
6.004004e-01 1.003628e-04 1.174325e-04 -4.133288e-02
1.100801e+00 8.651901e-05 5.608125e-04 -4.115785e-02
1.601201e+00 7.499755e-05 1.494998e-03 -4.090505e-02
2.101602e+00 6.534361e-05 3.006960e-03 -4.059284e-02
2.602002e+00 5.720349e-05 5.132051e-03 -4.023465e-02
3.102402e+00 5.029961e-05 7.871890e-03 -3.984104e-02
3.602803e+00 4.441225e-05 1.120656e-02 -3.942047e-02
4.103203e+00 3.936612e-05 1.510292e-02 -3.897978e-02
4.603604e+00 3.502036e-05 1.952030e-02 -3.852449e-02
5.104004e+00 3.126098e-05 2.441432e-02 -3.805908e-02
5.604404e+00 2.799513e-05 2.973945e-02 -3.758719e-02
6.104805e+00 2.514676e-05 3.545070e-02 -3.711180e-02
6.605205e+00 2.265317e-05 4.150473e-02 -3.663530e-02
7.105606e+00 2.046243e-05 4.786045e-02 -3.615966e-02
7.606006e+00 1.853129e-05 5.447943e-02 -3.568644e-02
8.106406e+00 1.682357e-05 6.132604e-02 -3.521694e-02
8.606807e+00 1.530885e-05 6.836751e-02 -3.475218e-02
9.107207e+00 1.396144e-05 7.557385e-02 -3.429296e-02
9.607608e+00 1.275958e-05 8.291775e-02 -3.383993e-02
1.010801e+01 1.168474e-05 9.037444e-02 -3.339360e-02
1.060841e+01 1.072110e-05 9.792152e-02 -3.295434e-02
1.110881e+01 9.855101e-06 1.055388e-01 -3.252244e-02
1.160921e+01 9.075068e-06 1.132081e-01 -3.209810e-02
1.210961e+01 8.370932e-06 1.209131e-01 -3.168145e-02
1.261001e+01 7.733980e-06 1.286392e-01 -3.127257e-02
1.311041e+01 7.156643e-06 1.363734e-01 -3.087150e-02
1.361081e+01 6.632332e-06 1.441040e-01 -3.047823e-02
1.411121e+01 6.155294e-06 1.518208e-01 -3.009272e-02
1.461161e+01 5.720495e-06 1.595144e-01 -2.971491e-02
1.511201e+01 5.323512e-06 1.671768e-01 -2.934472e-02
1.561241e+01 4.960460e-06 1.748008e-01 -2.898204e-02
1.611281e+01 4.627907e-06 1.823800e-01 -2.862677e-02
1.661321e+01 4.322825e-06 1.899089e-01 -2.827877e-02
1.711361e+01 4.042529e-06 1.973826e-01 -2.793792e-02
1.761401e+01 3.784636e-06 2.047969e-01 -2.760408e-02
1.811441e+01 3.547028e-06 2.121481e-01 -2.727710e-02
1.861481e+01 3.327815e-06 2.194331e-01 -2.695685e-02
1.911522e+01 3.125312e-06 2.266491e-01 -2.664316e-02
1.961562e+01 2.938010e-06 2.337938e-01 -2.633589e-02
2.011602e+01 2.764558e-06 2.408654e-01 -2.603489e-02
2.061642e+01 2.603743e-06 2.478623e-01 -2.574002e-02
2.111682e+01 2.454474e-06 2.547830e-01 -2.545113e-02
2.161722e+01 2.315769e-06 2.616267e-01 -2.516806e-02
2.211762e+01 2.186742e-06 2.683925e-01 -2.489068e-02
2.261802e+01 2.066592e-06 2.750798e-01 -2.461885e-02
2.311842e+01 1.954595e-06 2.816884e-01 -2.435242e-02
2.361882e+01 1.850095e-06 2.882178e-01 -2.409126e-02
2.411922e+01 1.752498e-06 2.946682e-01 -2.383524e-02
2.461962e+01 1.661262e-06 3.010395e-01 -2.358422e-02
2.512002e+01 1.575895e-06 3.073319e-01 -2.333808e-02
2.562042e+01 1.495950e-06 3.135458e-01 -2.309669e-02
2.612082e+01 1.421018e-06 3.196816e-01 -2.285994e-02
2.662122e+01 1.350727e-06 3.257397e-01 -2.262769e-02
2.712162e+01 1.284734e-06 3.317206e-01 -2.239985e-02
2.762202e+01 1.222727e-06 3.376251e-01 -2.217629e-02
2.812242e+01 1.164422e-06 3.434537e-01 -2.195691e-02
2.862282e+01 1.109556e-06 3.492072e-01 -2.174160e-02
2.912322e+01 1.057887e-06 3.548863e-01 -2.153025e-02
2.962362e+01 1.009195e-06 3.604919e-01 -2.132278e-02
3.012402e+01 9.632760e-07 3.660248e-01 -2.111907e-02
3.062442e+01 9.199422e-07 3.714858e-01 -2.091904e-02
3.112482e+01 8.790207e-07 3.768758e-01 -2.072260e-02
3.162523e+01 8.403521e-07 3.821958e-01 -2.052964e-02
3.212563e+01 8.037889e-07 3.874465e-01 -2.034010e-02
3.262603e+01 7.691951e-07 3.926291e-01 -2.015388e-02
3.312643e+01 7.364444e-07 3.977443e-01 -1.997090e-02
3.362683e+01 7.054202e-07 4.027931e-01 -1.979108e-02
3.412723e+01 6.760143e-07 4.077765e-01 -1.961436e-02
3.462763e+01 6.481263e-07 4.126954e-01 -1.944064e-02
3.512803e+01 6.216632e-07 4.175508e-01 -1.926986e-02
3.562843e+01 5.965383e-07 4.223435e-01 -1.910195e-02
3.612883e+01 5.726712e-07 4.270746e-01 -1.893684e-02
3.662923e+01 5.499870e-07 4.317449e-01 -1.877446e-02
3.712963e+01 5.284159e-07 4.363554e-01 -1.861475e-02
3.763003e+01 5.078931e-07 4.409070e-01 -1.845765e-02
3.813043e+01 4.883579e-07 4.454007e-01 -1.830310e-02
3.863083e+01 4.697538e-07 4.498372e-01 -1.815103e-02
3.913123e+01 4.520279e-07 4.542176e-01 -1.800140e-02
3.963163e+01 4.351311e-07 4.585427e-01 -1.785413e-02
4.013203e+01 4.190171e-07 4.628134e-01 -1.770919e-02
4.063243e+01 4.036427e-07 4.670305e-01 -1.756652e-02
4.113283e+01 3.889676e-07 4.711949e-01 -1.742606e-02
4.163323e+01 3.749540e-07 4.753074e-01 -1.728777e-02
4.213363e+01 3.615663e-07 4.793689e-01 -1.715160e-02
4.263403e+01 3.487713e-07 4.833802e-01 -1.701750e-02
4.313443e+01 3.365377e-07 4.873421e-01 -1.688543e-02
4.363483e+01 3.248362e-07 4.912554e-01 -1.675534e-02
4.413524e+01 3.136392e-07 4.951209e-01 -1.662718e-02
4.463564e+01 3.029210e-07 4.989393e-01 -1.650093e-02
4.513604e+01 2.926570e-07 5.027114e-01 -1.637653e-02
4.563644e+01 2.828243e-07 5.064380e-01 -1.625395e-02
4.613684e+01 2.734015e-07 5.101197e-01 -1.613315e-02
4.663724e+01 2.643681e-07 5.137574e-01 -1.601409e-02
4.713764e+01 2.557050e-07 5.173516e-01 -1.589674e-02
4.763804e+01 2.473940e-07 5.209032e-01 -1.578105e-02
4.813844e+01 2.394183e-07 5.244128e-01 -1.566700e-02
4.863884e+01 2.317615e-07 5.278810e-01 -1.555455e-02
4.913924e+01 2.244086e-07 5.313086e-01 -1.544367e-02
4.963964e+01 2.173452e-07 5.346962e-01 -1.533433e-02
5.014004e+01 2.105577e-07 5.380443e-01 -1.522649e-02
5.064044e+01 2.040332e-07 5.413538e-01 -1.512012e-02
5.114084e+01 1.977597e-07 5.446251e-01 -1.501521e-02
5.164124e+01 1.917256e-07 5.478588e-01 -1.491171e-02
5.214164e+01 1.859200e-07 5.510556e-01 -1.480959e-02
5.264204e+01 1.803326e-07 5.542161e-01 -1.470884e-02
5.314244e+01 1.749537e-07 5.573408e-01 -1.460943e-02
5.364284e+01 1.697739e-07 5.604303e-01 -1.451132e-02
5.414324e+01 1.647845e-07 5.634851e-01 -1.441450e-02
5.464364e+01 1.599772e-07 5.665058e-01 -1.431894e-02
5.514404e+01 1.553440e-07 5.694929e-01 -1.422461e-02
5.564444e+01 1.508774e-07 5.724469e-01 -1.413150e-02
5.614484e+01 1.465703e-07 5.753684e-01 -1.403957e-02
5.664525e+01 1.424159e-07 5.782578e-01 -1.394881e-02
5.714565e+01 1.384077e-07 5.811156e-01 -1.385920e-02
5.764605e+01 1.345395e-07 5.839424e-01 -1.377071e-02
5.814645e+01 1.308057e-07 5.867386e-01 -1.368333e-02
5.864685e+01 1.272005e-07 5.895046e-01 -1.359703e-02
5.914725e+01 1.237188e-07 5.922410e-01 -1.351179e-02
5.964765e+01 1.203554e-07 5.949482e-01 -1.342759e-02
6.014805e+01 1.171056e-07 5.976265e-01 -1.334442e-02
6.064845e+01 1.139648e-07 6.002765e-01 -1.326226e-02
6.114885e+01 1.109287e-07 6.028986e-01 -1.318109e-02
6.164925e+01 1.079930e-07 6.054932e-01 -1.310088e-02
6.214965e+01 1.051538e-07 6.080607e-01 -1.302164e-02
6.265005e+01 1.024074e-07 6.106015e-01 -1.294333e-02
6.315045e+01 9.975009e-08 6.131161e-01 -1.286594e-02
6.365085e+01 9.717846e-08 6.156047e-01 -1.278946e-02
6.415125e+01 9.468921e-08 6.180677e-01 -1.271386e-02
6.465165e+01 9.227918e-08 6.205057e-01 -1.263914e-02
6.515205e+01 8.994537e-08 6.229188e-01 -1.256529e-02
6.565245e+01 8.768491e-08 6.253075e-01 -1.249227e-02
6.615285e+01 8.549505e-08 6.276722e-01 -1.242009e-02
6.665325e+01 8.337314e-08 6.300131e-01 -1.234872e-02
6.715365e+01 8.131669e-08 6.323306e-01 -1.227816e-02
6.765405e+01 7.932328e-08 6.346251e-01 -1.220838e-02
6.815445e+01 7.739060e-08 6.368969e-01 -1.213939e-02
6.865485e+01 7.551645e-08 6.391463e-01 -1.207116e-02
6.915526e+01 7.369871e-08 6.413736e-01 -1.200368e-02
6.965566e+01 7.193536e-08 6.435791e-01 -1.193693e-02
7.015606e+01 7.022444e-08 6.457632e-01 -1.187092e-02
7.065646e+01 6.856412e-08 6.479261e-01 -1.180562e-02
7.115686e+01 6.695259e-08 6.500682e-01 -1.174103e-02
7.165726e+01 6.538814e-08 6.521897e-01 -1.167712e-02
7.215766e+01 6.386914e-08 6.542909e-01 -1.161390e-02
7.265806e+01 6.239401e-08 6.563721e-01 -1.155136e-02
7.315846e+01 6.096124e-08 6.584336e-01 -1.148947e-02
7.365886e+01 5.956937e-08 6.604756e-01 -1.142823e-02
7.415926e+01 5.821702e-08 6.624984e-01 -1.136763e-02
7.465966e+01 5.690283e-08 6.645023e-01 -1.130767e-02
7.516006e+01 5.562554e-08 6.664876e-01 -1.124832e-02
7.566046e+01 5.438389e-08 6.684544e-01 -1.118959e-02
7.616086e+01 5.317671e-08 6.704030e-01 -1.113145e-02
7.666126e+01 5.200284e-08 6.723337e-01 -1.107391e-02
7.716166e+01 5.086120e-08 6.742467e-01 -1.101696e-02
7.766206e+01 4.975073e-08 6.761422e-01 -1.096057e-02
7.816246e+01 4.867041e-08 6.780206e-01 -1.090476e-02
7.866286e+01 4.761926e-08 6.798819e-01 -1.084950e-02
7.916326e+01 4.659635e-08 6.817265e-01 -1.079479e-02
7.966366e+01 4.560076e-08 6.835545e-01 -1.074063e-02
8.016406e+01 4.463163e-08 6.853661e-01 -1.068700e-02
8.066446e+01 4.368812e-08 6.871617e-01 -1.063389e-02
8.116486e+01 4.276941e-08 6.889413e-01 -1.058130e-02
8.166527e+01 4.187474e-08 6.907052e-01 -1.052922e-02
8.216567e+01 4.100334e-08 6.924537e-01 -1.047765e-02
8.266607e+01 4.015450e-08 6.941868e-01 -1.042657e-02
8.316647e+01 3.932752e-08 6.959048e-01 -1.037598e-02
8.366687e+01 3.852172e-08 6.976079e-01 -1.032587e-02
8.416727e+01 3.773647e-08 6.992962e-01 -1.027624e-02
8.466767e+01 3.697112e-08 7.009700e-01 -1.022708e-02
8.516807e+01 3.622509e-08 7.026294e-01 -1.017838e-02
8.566847e+01 3.549778e-08 7.042747e-01 -1.013013e-02
8.616887e+01 3.478864e-08 7.059060e-01 -1.008234e-02
8.666927e+01 3.409712e-08 7.075234e-01 -1.003498e-02
8.716967e+01 3.342271e-08 7.091272e-01 -9.988066e-03
8.767007e+01 3.276489e-08 7.107174e-01 -9.941581e-03
8.817047e+01 3.212318e-08 7.122944e-01 -9.895521e-03
8.867087e+01 3.149711e-08 7.138582e-01 -9.849881e-03
8.917127e+01 3.088622e-08 7.154090e-01 -9.804654e-03
8.967167e+01 3.029007e-08 7.169469e-01 -9.759835e-03
9.017207e+01 2.970824e-08 7.184722e-01 -9.715419e-03
9.067247e+01 2.914032e-08 7.199850e-01 -9.671400e-03
9.117287e+01 2.858591e-08 7.214853e-01 -9.627773e-03
9.167327e+01 2.804462e-08 7.229734e-01 -9.584533e-03
9.217367e+01 2.751609e-08 7.244495e-01 -9.541674e-03
9.267407e+01 2.699995e-08 7.259136e-01 -9.499193e-03
9.317447e+01 2.649586e-08 7.273659e-01 -9.457083e-03
9.367487e+01 2.600348e-08 7.288065e-01 -9.415340e-03
9.417528e+01 2.552249e-08 7.302356e-01 -9.373960e-03
9.467568e+01 2.505257e-08 7.316534e-01 -9.332936e-03
9.517608e+01 2.459342e-08 7.330599e-01 -9.292266e-03
9.567648e+01 2.414474e-08 7.344552e-01 -9.251945e-03
9.617688e+01 2.370626e-08 7.358396e-01 -9.211967e-03
9.667728e+01 2.327768e-08 7.372131e-01 -9.172329e-03
9.717768e+01 2.285874e-08 7.385758e-01 -9.133026e-03
9.767808e+01 2.244919e-08 7.399280e-01 -9.094055e-03
9.817848e+01 2.204878e-08 7.412696e-01 -9.055410e-03
9.867888e+01 2.165725e-08 7.426009e-01 -9.017088e-03
9.917928e+01 2.127438e-08 7.439219e-01 -8.979085e-03
9.967968e+01 2.089993e-08 7.452327e-01 -8.941398e-03
1.001801e+02 2.053368e-08 7.465336e-01 -8.904021e-03
1.006805e+02 2.017543e-08 7.478245e-01 -8.866951e-03
1.011809e+02 1.982495e-08 7.491056e-01 -8.830185e-03
1.016813e+02 1.948206e-08 7.503771e-01 -8.793719e-03
1.021817e+02 1.914655e-08 7.516389e-01 -8.757549e-03
1.026821e+02 1.881823e-08 7.528913e-01 -8.721671e-03
1.031825e+02 1.849692e-08 7.541343e-01 -8.686083e-03
1.036829e+02 1.818244e-08 7.553680e-01 -8.650780e-03
1.041833e+02 1.787461e-08 7.565926e-01 -8.615759e-03
1.046837e+02 1.757327e-08 7.578081e-01 -8.581018e-03
1.051841e+02 1.727826e-08 7.590146e-01 -8.546551e-03
1.056845e+02 1.698942e-08 7.602122e-01 -8.512357e-03
1.061849e+02 1.670658e-08 7.614011e-01 -8.478432e-03
1.066853e+02 1.642961e-08 7.625813e-01 -8.444773e-03
1.071857e+02 1.615836e-08 7.637529e-01 -8.411377e-03
1.076861e+02 1.589268e-08 7.649161e-01 -8.378241e-03
1.081865e+02 1.563244e-08 7.660708e-01 -8.345361e-03
1.086869e+02 1.537750e-08 7.672172e-01 -8.312735e-03
1.091873e+02 1.512775e-08 7.683553e-01 -8.280360e-03
1.096877e+02 1.488304e-08 7.694854e-01 -8.248233e-03
1.101881e+02 1.464326e-08 7.706074e-01 -8.216351e-03
1.106885e+02 1.440830e-08 7.717214e-01 -8.184712e-03
1.111889e+02 1.417802e-08 7.728275e-01 -8.153312e-03
1.116893e+02 1.395233e-08 7.739259e-01 -8.122149e-03
1.121897e+02 1.373112e-08 7.750165e-01 -8.091221e-03
1.126901e+02 1.351427e-08 7.760994e-01 -8.060524e-03
1.131905e+02 1.330169e-08 7.771749e-01 -8.030056e-03
1.136909e+02 1.309327e-08 7.782428e-01 -7.999815e-03
1.141913e+02 1.288892e-08 7.793033e-01 -7.969797e-03
1.146917e+02 1.268853e-08 7.803565e-01 -7.940002e-03
1.151921e+02 1.249203e-08 7.814025e-01 -7.910425e-03
1.156925e+02 1.229932e-08 7.824412e-01 -7.881065e-03
1.161929e+02 1.211031e-08 7.834729e-01 -7.851920e-03
1.166933e+02 1.192492e-08 7.844975e-01 -7.822986e-03
1.171937e+02 1.174307e-08 7.855151e-01 -7.794263e-03
1.176941e+02 1.156466e-08 7.865259e-01 -7.765746e-03
1.181945e+02 1.138964e-08 7.875298e-01 -7.737435e-03
1.186949e+02 1.121791e-08 7.885270e-01 -7.709327e-03
1.191953e+02 1.104940e-08 7.895175e-01 -7.681420e-03
1.196957e+02 1.088405e-08 7.905013e-01 -7.653711e-03
1.201961e+02 1.072179e-08 7.914786e-01 -7.626199e-03
1.206965e+02 1.056253e-08 7.924494e-01 -7.598882e-03
1.211969e+02 1.040622e-08 7.934138e-01 -7.571757e-03
1.216973e+02 1.025279e-08 7.943718e-01 -7.544823e-03
1.221977e+02 1.010218e-08 7.953235e-01 -7.518077e-03
1.226981e+02 9.954329e-09 7.962690e-01 -7.491517e-03
1.231985e+02 9.809170e-09 7.972083e-01 -7.465142e-03
1.236989e+02 9.666647e-09 7.981414e-01 -7.438950e-03
1.241993e+02 9.526705e-09 7.990685e-01 -7.412939e-03
1.246997e+02 9.389286e-09 7.999896e-01 -7.387106e-03
1.252001e+02 9.254336e-09 8.009048e-01 -7.361450e-03
1.257005e+02 9.121802e-09 8.018140e-01 -7.335970e-03
1.262009e+02 8.991633e-09 8.027174e-01 -7.310663e-03
1.267013e+02 8.863777e-09 8.036151e-01 -7.285528e-03
1.272017e+02 8.738187e-09 8.045070e-01 -7.260563e-03
1.277021e+02 8.614813e-09 8.053932e-01 -7.235766e-03
1.282025e+02 8.493609e-09 8.062739e-01 -7.211136e-03
1.287029e+02 8.374530e-09 8.071489e-01 -7.186671e-03
1.292033e+02 8.257530e-09 8.080185e-01 -7.162369e-03
1.297037e+02 8.142567e-09 8.088826e-01 -7.138228e-03
1.302041e+02 8.029598e-09 8.097413e-01 -7.114248e-03
1.307045e+02 7.918581e-09 8.105946e-01 -7.090426e-03
1.312049e+02 7.809477e-09 8.114426e-01 -7.066760e-03
1.317053e+02 7.702246e-09 8.122854e-01 -7.043251e-03
1.322057e+02 7.596849e-09 8.131229e-01 -7.019895e-03
1.327061e+02 7.493248e-09 8.139553e-01 -6.996691e-03
1.332065e+02 7.391409e-09 8.147826e-01 -6.973638e-03
1.337069e+02 7.291293e-09 8.156047e-01 -6.950735e-03
1.342073e+02 7.192867e-09 8.164219e-01 -6.927980e-03
1.347077e+02 7.096097e-09 8.172341e-01 -6.905371e-03
1.352081e+02 7.000949e-09 8.180414e-01 -6.882907e-03
1.357085e+02 6.907390e-09 8.188437e-01 -6.860587e-03
1.362089e+02 6.815389e-09 8.196413e-01 -6.838409e-03
1.367093e+02 6.724915e-09 8.204340e-01 -6.816372e-03
