! None/basis/modelname_lmc_mean_2903.txt
! R    D    M    P
600
1.000000e-01 4.805685e-04 9.181596e-17 -6.463841e-02
6.006678e-01 3.717816e-04 4.370921e-04 -6.451240e-02
1.101336e+00 2.926283e-04 1.975634e-03 -6.386224e-02
1.602003e+00 2.338071e-04 4.979819e-03 -6.298476e-02
2.102671e+00 1.892837e-04 9.500040e-03 -6.196404e-02
2.603339e+00 1.550332e-04 1.543798e-02 -6.085434e-02
3.104007e+00 1.283047e-04 2.263213e-02 -5.969305e-02
3.604674e+00 1.071777e-04 3.090188e-02 -5.850632e-02
4.105342e+00 9.028506e-05 4.006959e-02 -5.731262e-02
4.606010e+00 7.663703e-05 4.997105e-02 -5.612494e-02
5.106678e+00 6.550588e-05 6.045959e-02 -5.495240e-02
5.607346e+00 5.634897e-05 7.140698e-02 -5.380134e-02
6.108013e+00 4.875648e-05 8.270270e-02 -5.267602e-02
6.608681e+00 4.241530e-05 9.425237e-02 -5.157927e-02
7.109349e+00 3.708363e-05 1.059761e-01 -5.051279e-02
7.610017e+00 3.257286e-05 1.178064e-01 -4.947751e-02
8.110684e+00 2.873456e-05 1.296868e-01 -4.847378e-02
8.611352e+00 2.545093e-05 1.415703e-01 -4.750151e-02
9.112020e+00 2.262770e-05 1.534176e-01 -4.656032e-02
9.612688e+00 2.018892e-05 1.651963e-01 -4.564961e-02
1.011336e+01 1.807295e-05 1.768798e-01 -4.476862e-02
1.061402e+01 1.622946e-05 1.884465e-01 -4.391650e-02
1.111469e+01 1.461711e-05 1.998787e-01 -4.309233e-02
1.161536e+01 1.320173e-05 2.111622e-01 -4.229515e-02
1.211603e+01 1.195493e-05 2.222860e-01 -4.152399e-02
1.261669e+01 1.085302e-05 2.332414e-01 -4.077786e-02
1.311736e+01 9.876127e-06 2.440218e-01 -4.005581e-02
1.361803e+01 9.007500e-06 2.546224e-01 -3.935689e-02
1.411870e+01 8.232967e-06 2.650400e-01 -3.868017e-02
1.461937e+01 7.540482e-06 2.752724e-01 -3.802476e-02
1.512003e+01 6.919773e-06 2.853187e-01 -3.738978e-02
1.562070e+01 6.362044e-06 2.951787e-01 -3.677441e-02
1.612137e+01 5.859736e-06 3.048530e-01 -3.617785e-02
1.662204e+01 5.406335e-06 3.143427e-01 -3.559932e-02
1.712270e+01 4.996206e-06 3.236497e-01 -3.503809e-02
1.762337e+01 4.624462e-06 3.327760e-01 -3.449346e-02
1.812404e+01 4.286848e-06 3.417239e-01 -3.396475e-02
1.862471e+01 3.979655e-06 3.504963e-01 -3.345133e-02
1.912538e+01 3.699637e-06 3.590960e-01 -3.295258e-02
